height,weight,bust,waist,hip,shape,img
65,95.9,32,36,33,apple,ml\training_data\apple\56.png
70,98.6,32,34,32,apple,ml\training_data\apple\57.png
65,127.2,44,38,33,apple,ml\training_data\apple\58.png
65,110.8,38,36,33,apple,ml\training_data\apple\59.png
67,126.6,34,40,37,apple,ml\training_data\apple\60.png
67,130.1,45,40,32,apple,ml\training_data\apple\61.png
70,116.6,38,38,32,apple,ml\training_data\apple\62.png
70,113.6,38,34,32,apple,ml\training_data\apple\63.png
65,123.2,43,36,33,apple,ml\training_data\apple\64.png
65,131.8,42,38,35,apple,ml\training_data\apple\65.png
67,103.2,36,34,32,apple,ml\training_data\apple\66.png
65,102.1,32,38,34,apple,ml\training_data\apple\67.png
67,142.0,44,40,35,apple,ml\training_data\apple\68.png
67,142.9,45,38,35,apple,ml\training_data\apple\69.png
68,101.3,32,36,33,apple,ml\training_data\apple\70.png
66,132.3,37,40,37,apple,ml\training_data\apple\71.png
65,123.9,44,40,32,apple,ml\training_data\apple\72.png
67,136.6,38,40,37,apple,ml\training_data\apple\73.png
70,139.7,39,40,36,apple,ml\training_data\apple\74.png
68,130.0,41,38,34,apple,ml\training_data\apple\75.png
68,122.3,36,38,35,apple,ml\training_data\apple\76.png
70,130.1,39,40,34,apple,ml\training_data\apple\77.png
67,124.4,42,36,33,apple,ml\training_data\apple\78.png
66,122.7,37,40,35,apple,ml\training_data\apple\79.png
68,117.2,32,38,36,apple,ml\training_data\apple\80.png
66,131.0,39,38,36,apple,ml\training_data\apple\81.png
67,146.5,42,40,37,apple,ml\training_data\apple\82.png
70,122.3,32,40,36,apple,ml\training_data\apple\83.png
70,125.0,35,40,35,apple,ml\training_data\apple\84.png
66,136.0,41,38,36,apple,ml\training_data\apple\85.png
65,103.1,33,36,34,apple,ml\training_data\apple\86.png
68,153.2,42,40,38,apple,ml\training_data\apple\87.png
69,123.5,39,40,33,apple,ml\training_data\apple\88.png
70,131.3,42,38,33,apple,ml\training_data\apple\89.png
67,106.9,35,36,33,apple,ml\training_data\apple\90.png
66,105.5,32,40,34,apple,ml\training_data\apple\91.png
69,139.1,42,38,35,apple,ml\training_data\apple\92.png
67,98.7,33,38,32,apple,ml\training_data\apple\93.png
66,112.8,40,36,32,apple,ml\training_data\apple\94.png
69,140.6,42,40,35,apple,ml\training_data\apple\95.png
65,126.1,41,40,34,apple,ml\training_data\apple\96.png
68,105.3,33,38,33,apple,ml\training_data\apple\97.png
65,126.9,40,38,35,apple,ml\training_data\apple\98.png
67,136.4,36,40,38,apple,ml\training_data\apple\99.png
70,149.5,41,40,37,apple,ml\training_data\apple\100.png
66,125.4,40,40,34,apple,ml\training_data\apple\101.png
67,115.3,32,38,36,apple,ml\training_data\apple\102.png
70,107.4,33,36,33,apple,ml\training_data\apple\103.png
67,114.9,37,40,33,apple,ml\training_data\apple\104.png
65,152.7,44,40,38,apple,ml\training_data\apple\105.png
67,129.4,44,36,33,apple,ml\training_data\apple\106.png
66,107.4,34,36,34,apple,ml\training_data\apple\107.png
67,120.9,40,38,33,apple,ml\training_data\apple\108.png
68,146.3,45,40,35,apple,ml\training_data\apple\109.png
69,118.2,40,36,32,apple,ml\training_data\apple\110.png
67,119.9,39,40,33,apple,ml\training_data\apple\111.png
68,109.5,36,40,32,apple,ml\training_data\apple\112.png
70,122.5,34,40,35,apple,ml\training_data\apple\113.png
68,138.2,36,40,38,apple,ml\training_data\apple\114.png
66,113.7,34,38,35,apple,ml\training_data\apple\115.png
66,118.9,38,38,34,apple,ml\training_data\apple\116.png
68,133.7,45,36,33,apple,ml\training_data\apple\117.png
67,110.1,37,40,32,apple,ml\training_data\apple\118.png
69,128.9,36,38,36,apple,ml\training_data\apple\119.png
69,110.6,35,36,33,apple,ml\training_data\apple\120.png
70,141.8,36,40,38,apple,ml\training_data\apple\121.png
65,134.5,45,38,34,apple,ml\training_data\apple\122.png
69,104.6,32,38,33,apple,ml\training_data\apple\123.png
66,135.3,44,40,34,apple,ml\training_data\apple\124.png
66,115.4,36,40,34,apple,ml\training_data\apple\125.png
65,106.0,38,36,32,apple,ml\training_data\apple\126.png
70,115.6,37,40,32,apple,ml\training_data\apple\127.png
67,125.5,38,38,35,apple,ml\training_data\apple\128.png
67,113.1,33,38,35,apple,ml\training_data\apple\129.png
68,143.4,40,40,37,apple,ml\training_data\apple\130.png
68,109.1,32,40,34,apple,ml\training_data\apple\131.png
68,129.6,37,38,36,apple,ml\training_data\apple\132.png
65,112.5,40,38,32,apple,ml\training_data\apple\133.png
69,126.2,42,40,32,apple,ml\training_data\apple\134.png
70,113.9,35,38,33,apple,ml\training_data\apple\135.png
65,128.0,43,36,34,apple,ml\training_data\apple\136.png
66,106.6,35,38,33,apple,ml\training_data\apple\137.png
65,123.7,42,40,33,apple,ml\training_data\apple\138.png
70,135.7,38,38,36,apple,ml\training_data\apple\139.png
68,116.1,36,36,34,apple,ml\training_data\apple\140.png
66,132.7,41,40,35,apple,ml\training_data\apple\141.png
69,155.0,42,40,38,apple,ml\training_data\apple\142.png
70,114.9,36,36,33,apple,ml\training_data\apple\143.png
65,103.6,32,40,34,apple,ml\training_data\apple\144.png
65,129.5,43,38,34,apple,ml\training_data\apple\145.png
66,120.4,38,40,34,apple,ml\training_data\apple\146.png
69,108.3,36,36,32,apple,ml\training_data\apple\147.png
67,108.4,35,38,33,apple,ml\training_data\apple\148.png
68,121.7,39,40,33,apple,ml\training_data\apple\149.png
67,117.2,36,40,34,apple,ml\training_data\apple\150.png
68,127.7,42,38,33,apple,ml\training_data\apple\151.png
70,121.5,40,38,32,apple,ml\training_data\apple\152.png
67,108.3,33,38,34,apple,ml\training_data\apple\153.png
67,123.0,37,38,35,apple,ml\training_data\apple\154.png
68,131.9,45,40,32,apple,ml\training_data\apple\155.png
68,115.2,37,38,33,apple,ml\training_data\apple\156.png
69,123.3,37,40,34,apple,ml\training_data\apple\157.png
68,123.9,43,36,32,apple,ml\training_data\apple\158.png
69,121.0,38,40,33,apple,ml\training_data\apple\159.png
69,114.8,38,38,32,apple,ml\training_data\apple\160.png
67,133.4,45,38,33,apple,ml\training_data\apple\161.png
65,124.6,41,38,34,apple,ml\training_data\apple\162.png
68,149.5,45,38,36,apple,ml\training_data\apple\163.png
68,134.2,44,40,33,apple,ml\training_data\apple\164.png
70,143.2,41,38,36,apple,ml\training_data\apple\165.png
65,96.6,33,40,32,apple,ml\training_data\apple\166.png
65,150.2,43,40,38,apple,ml\training_data\apple\167.png
70,133.4,39,38,35,apple,ml\training_data\apple\168.png
68,148.5,44,40,36,apple,ml\training_data\apple\169.png
65,116.9,36,38,35,apple,ml\training_data\apple\170.png
69,123.2,35,40,35,apple,ml\training_data\apple\171.png
70,104.1,33,38,32,apple,ml\training_data\apple\172.png
67,120.7,38,38,34,apple,ml\training_data\apple\173.png
69,132.9,37,40,36,apple,ml\training_data\apple\174.png
69,121.7,42,34,32,apple,ml\training_data\apple\175.png
70,125.9,36,38,35,apple,ml\training_data\apple\176.png
70,133.6,41,38,34,apple,ml\training_data\apple\177.png
68,102.5,35,34,32,apple,ml\training_data\apple\178.png
66,96.4,34,34,32,apple,ml\training_data\apple\179.png
66,152.0,43,40,38,apple,ml\training_data\apple\180.png
66,109.9,35,36,34,apple,ml\training_data\apple\181.png
65,93.6,33,36,32,apple,ml\training_data\apple\182.png
68,118.7,39,36,33,apple,ml\training_data\apple\183.png
67,107.7,36,40,32,apple,ml\training_data\apple\184.png
66,123.7,45,34,32,apple,ml\training_data\apple\185.png
67,125.7,40,38,34,apple,ml\training_data\apple\186.png
65,121.9,38,38,35,apple,ml\training_data\apple\187.png
70,111.4,34,38,33,apple,ml\training_data\apple\188.png
67,127.8,37,38,36,apple,ml\training_data\apple\189.png
68,132.7,44,38,33,apple,ml\training_data\apple\190.png
70,139.5,37,40,37,apple,ml\training_data\apple\191.png
67,101.2,34,38,32,apple,ml\training_data\apple\192.png
67,127.4,42,40,33,apple,ml\training_data\apple\193.png
66,121.4,39,38,34,apple,ml\training_data\apple\194.png
66,112.4,36,36,34,apple,ml\training_data\apple\195.png
66,128.9,42,38,34,apple,ml\training_data\apple\196.png
67,126.4,32,40,38,apple,ml\training_data\apple\197.png
70,118.9,37,38,33,apple,ml\training_data\apple\198.png
66,122.5,35,40,36,apple,ml\training_data\apple\199.png
65,104.6,33,38,34,apple,ml\training_data\apple\200.png
66,103.8,37,34,32,apple,ml\training_data\apple\201.png
68,153.3,44,40,37,apple,ml\training_data\apple\202.png
69,139.3,44,38,34,apple,ml\training_data\apple\203.png
65,91.1,32,36,32,apple,ml\training_data\apple\204.png
69,119.4,36,38,34,apple,ml\training_data\apple\205.png
70,114.1,37,38,32,apple,ml\training_data\apple\206.png
70,134.6,42,36,34,apple,ml\training_data\apple\207.png
69,121.5,33,38,36,apple,ml\training_data\apple\208.png
67,136.8,40,40,36,apple,ml\training_data\apple\209.png
67,158.8,45,40,38,apple,ml\training_data\apple\210.png
70,108.1,34,40,32,apple,ml\training_data\apple\211.png
67,106.0,34,38,33,apple,ml\training_data\apple\212.png
68,139.0,44,40,34,apple,ml\training_data\apple\213.png
67,102.2,35,36,32,apple,ml\training_data\apple\214.png
68,112.9,38,38,32,apple,ml\training_data\apple\215.png
65,142.7,40,40,38,apple,ml\training_data\apple\216.png
69,116.9,35,38,34,apple,ml\training_data\apple\217.png
65,123.4,45,36,32,apple,ml\training_data\apple\218.png
65,112.1,36,38,34,apple,ml\training_data\apple\219.png
67,142.7,43,38,36,apple,ml\training_data\apple\220.png
68,107.6,32,38,34,apple,ml\training_data\apple\221.png
68,116.9,39,40,32,apple,ml\training_data\apple\222.png
69,140.0,36,40,38,apple,ml\training_data\apple\223.png
68,111.8,35,40,33,apple,ml\training_data\apple\224.png
69,157.5,43,40,38,apple,ml\training_data\apple\225.png
67,120.1,41,40,32,apple,ml\training_data\apple\226.png
65,125.9,39,40,35,apple,ml\training_data\apple\227.png
65,147.9,44,40,37,apple,ml\training_data\apple\228.png
66,132.5,39,40,36,apple,ml\training_data\apple\229.png
69,145.0,38,40,38,apple,ml\training_data\apple\230.png
69,142.9,41,40,36,apple,ml\training_data\apple\231.png
68,129.2,42,40,33,apple,ml\training_data\apple\232.png
66,105.1,35,36,33,apple,ml\training_data\apple\233.png
67,120.6,43,34,32,apple,ml\training_data\apple\234.png
66,119.3,42,38,32,apple,ml\training_data\apple\235.png
65,140.8,45,40,35,apple,ml\training_data\apple\236.png
69,119.0,32,38,36,apple,ml\training_data\apple\237.png
69,145.6,44,40,35,apple,ml\training_data\apple\238.png
70,106.4,32,38,33,apple,ml\training_data\apple\239.png
65,97.5,34,38,32,apple,ml\training_data\apple\240.png
68,98.0,32,38,32,apple,ml\training_data\apple\241.png
69,130.7,45,36,32,apple,ml\training_data\apple\242.png
66,98.9,35,34,32,apple,ml\training_data\apple\243.png
69,105.6,33,36,33,apple,ml\training_data\apple\244.png
69,122.2,41,38,32,apple,ml\training_data\apple\245.png
69,138.1,41,40,35,apple,ml\training_data\apple\246.png
68,108.6,33,36,34,apple,ml\training_data\apple\247.png
70,147.0,40,40,37,apple,ml\training_data\apple\248.png
66,137.5,41,40,36,apple,ml\training_data\apple\249.png
67,138.1,45,38,34,apple,ml\training_data\apple\250.png
67,118.4,39,38,33,apple,ml\training_data\apple\251.png
69,128.0,42,36,33,apple,ml\training_data\apple\252.png
69,99.3,33,34,32,apple,ml\training_data\apple\253.png
65,118.2,34,40,36,apple,ml\training_data\apple\254.png
65,134.2,41,38,36,apple,ml\training_data\apple\255.png
67,106.8,33,36,34,apple,ml\training_data\apple\256.png
65,145.6,45,40,36,apple,ml\training_data\apple\257.png
66,128.5,38,38,36,apple,ml\training_data\apple\258.png
70,139.9,41,40,35,apple,ml\training_data\apple\259.png
66,99.4,34,38,32,apple,ml\training_data\apple\260.png
69,117.9,36,36,34,apple,ml\training_data\apple\261.png
68,105.5,35,38,32,apple,ml\training_data\apple\262.png
67,119.7,37,40,34,apple,ml\training_data\apple\263.png
67,124.6,44,36,32,apple,ml\training_data\apple\264.png
69,113.3,38,36,32,apple,ml\training_data\apple\265.png
66,123.5,36,38,36,apple,ml\training_data\apple\266.png
65,119.2,35,38,36,apple,ml\training_data\apple\267.png
70,118.1,38,40,32,apple,ml\training_data\apple\268.png
67,126.7,41,36,34,apple,ml\training_data\apple\269.png
67,97.7,32,40,32,apple,ml\training_data\apple\270.png
69,124.0,34,38,36,apple,ml\training_data\apple\271.png
67,101.0,32,38,33,apple,ml\training_data\apple\272.png
67,103.7,35,38,32,apple,ml\training_data\apple\273.png
65,116.0,42,36,32,apple,ml\training_data\apple\274.png
68,135.2,45,38,33,apple,ml\training_data\apple\275.png
69,102.3,33,38,32,apple,ml\training_data\apple\276.png
66,95.9,32,40,32,apple,ml\training_data\apple\277.png
65,120.5,33,40,37,apple,ml\training_data\apple\278.png
66,139.6,38,40,38,apple,ml\training_data\apple\279.png
68,130.7,33,40,38,apple,ml\training_data\apple\280.png
65,112.3,38,38,33,apple,ml\training_data\apple\281.png
66,129.8,36,40,37,apple,ml\training_data\apple\282.png
66,120.8,42,40,32,apple,ml\training_data\apple\283.png
70,130.9,38,38,35,apple,ml\training_data\apple\284.png
65,138.1,42,40,36,apple,ml\training_data\apple\285.png
69,133.7,45,40,32,apple,ml\training_data\apple\286.png
65,116.1,37,40,34,apple,ml\training_data\apple\287.png
68,100.0,34,34,32,apple,ml\training_data\apple\288.png
69,106.3,34,40,32,apple,ml\training_data\apple\289.png
68,106.5,36,36,32,apple,ml\training_data\apple\290.png
67,129.3,37,40,36,apple,ml\training_data\apple\291.png
70,112.9,34,40,33,apple,ml\training_data\apple\292.png
68,124.4,42,40,32,apple,ml\training_data\apple\293.png
70,120.8,32,38,36,apple,ml\training_data\apple\294.png
68,136.1,39,40,36,apple,ml\training_data\apple\295.png
70,125.5,41,40,32,apple,ml\training_data\apple\296.png
66,140.9,43,38,36,apple,ml\training_data\apple\297.png
66,115.6,38,40,33,apple,ml\training_data\apple\298.png
66,133.5,40,38,36,apple,ml\training_data\apple\299.png
67,122.1,43,36,32,apple,ml\training_data\apple\300.png
70,109.9,34,36,33,apple,ml\training_data\apple\301.png
66,118.1,39,40,33,apple,ml\training_data\apple\302.png
70,144.3,37,40,38,apple,ml\training_data\apple\303.png
68,124.8,37,38,35,apple,ml\training_data\apple\304.png
67,118.2,37,38,34,apple,ml\training_data\apple\305.png
69,152.7,43,40,37,apple,ml\training_data\apple\306.png
68,126.4,44,36,32,apple,ml\training_data\apple\307.png
65,125.7,37,40,36,apple,ml\training_data\apple\308.png
70,123.0,40,40,32,apple,ml\training_data\apple\309.png
69,151.3,45,38,36,apple,ml\training_data\apple\310.png
66,118.7,36,38,35,apple,ml\training_data\apple\311.png
70,103.1,32,40,32,apple,ml\training_data\apple\312.png
69,111.8,38,34,32,apple,ml\training_data\apple\313.png
69,135.2,36,40,37,apple,ml\training_data\apple\314.png
70,129.9,37,40,35,apple,ml\training_data\apple\315.png
67,135.5,42,38,35,apple,ml\training_data\apple\316.png
65,106.5,37,40,32,apple,ml\training_data\apple\317.png
66,123.1,41,40,33,apple,ml\training_data\apple\318.png
70,111.2,32,38,34,apple,ml\training_data\apple\319.png
67,118.0,35,38,35,apple,ml\training_data\apple\320.png
69,128.3,39,40,34,apple,ml\training_data\apple\321.png
69,106.8,36,34,32,apple,ml\training_data\apple\322.png
67,125.9,42,38,33,apple,ml\training_data\apple\323.png
66,109.1,36,38,33,apple,ml\training_data\apple\324.png
69,162.4,45,40,38,apple,ml\training_data\apple\325.png
70,117.5,32,40,35,apple,ml\training_data\apple\326.png
69,128.7,43,40,32,apple,ml\training_data\apple\327.png
69,131.4,37,38,36,apple,ml\training_data\apple\328.png
68,116.6,35,40,34,apple,ml\training_data\apple\329.png
69,132.7,35,40,37,apple,ml\training_data\apple\330.png
67,117.8,33,38,36,apple,ml\training_data\apple\331.png
68,131.7,43,40,33,apple,ml\training_data\apple\332.png
66,147.0,41,40,38,apple,ml\training_data\apple\333.png
67,149.2,45,40,36,apple,ml\training_data\apple\334.png
70,103.6,34,34,32,apple,ml\training_data\apple\335.png
67,102.7,34,40,32,apple,ml\training_data\apple\336.png
69,150.2,42,40,37,apple,ml\training_data\apple\337.png
66,99.2,32,38,33,apple,ml\training_data\apple\338.png
68,131.2,44,36,33,apple,ml\training_data\apple\339.png
68,117.4,41,34,32,apple,ml\training_data\apple\340.png
67,105.2,35,40,32,apple,ml\training_data\apple\341.png
66,149.7,44,40,37,apple,ml\training_data\apple\342.png
68,106.3,34,36,33,apple,ml\training_data\apple\343.png
69,137.8,44,36,34,apple,ml\training_data\apple\344.png
70,130.8,36,38,36,apple,ml\training_data\apple\345.png
67,127.0,38,40,35,apple,ml\training_data\apple\346.png
70,129.8,35,40,36,apple,ml\training_data\apple\347.png
66,157.0,45,40,38,apple,ml\training_data\apple\348.png
68,96.5,32,36,32,apple,ml\training_data\apple\349.png
70,109.1,35,38,32,apple,ml\training_data\apple\350.png
66,118.5,34,38,36,apple,ml\training_data\apple\351.png
68,118.9,34,40,35,apple,ml\training_data\apple\352.png
68,108.0,36,38,32,apple,ml\training_data\apple\353.png
65,110.0,39,38,32,apple,ml\training_data\apple\354.png
65,102.5,36,38,32,apple,ml\training_data\apple\355.png
67,107.3,32,40,34,apple,ml\training_data\apple\356.png
68,119.8,35,38,35,apple,ml\training_data\apple\357.png
67,122.0,36,40,35,apple,ml\training_data\apple\358.png
69,120.4,37,36,34,apple,ml\training_data\apple\359.png
70,123.5,42,34,32,apple,ml\training_data\apple\360.png
67,111.9,37,36,33,apple,ml\training_data\apple\361.png
65,98.5,35,36,32,apple,ml\training_data\apple\362.png
70,101.6,32,38,32,apple,ml\training_data\apple\363.png
68,102.0,33,40,32,apple,ml\training_data\apple\364.png
68,126.5,39,40,34,apple,ml\training_data\apple\365.png
66,102.8,36,36,32,apple,ml\training_data\apple\366.png
68,138.8,42,40,35,apple,ml\training_data\apple\367.png
67,119.2,38,36,34,apple,ml\training_data\apple\368.png
67,137.1,44,40,34,apple,ml\training_data\apple\369.png
70,137.2,38,40,36,apple,ml\training_data\apple\370.png
67,135.7,44,38,34,apple,ml\training_data\apple\371.png
70,117.2,35,36,34,apple,ml\training_data\apple\372.png
67,114.6,40,36,32,apple,ml\training_data\apple\373.png
66,106.8,37,38,32,apple,ml\training_data\apple\374.png
67,121.7,39,36,34,apple,ml\training_data\apple\375.png
70,125.2,37,40,34,apple,ml\training_data\apple\376.png
69,148.9,44,38,36,apple,ml\training_data\apple\377.png
66,120.2,36,40,35,apple,ml\training_data\apple\378.png
68,137.1,40,38,36,apple,ml\training_data\apple\379.png
69,123.2,42,36,32,apple,ml\training_data\apple\380.png
65,100.0,35,38,32,apple,ml\training_data\apple\381.png
68,121.4,42,36,32,apple,ml\training_data\apple\382.png
66,116.6,39,38,33,apple,ml\training_data\apple\383.png
68,121.2,40,36,33,apple,ml\training_data\apple\384.png
70,137.4,40,40,35,apple,ml\training_data\apple\385.png
65,109.8,37,38,33,apple,ml\training_data\apple\386.png
65,130.5,37,40,37,apple,ml\training_data\apple\387.png
67,127.1,45,36,32,apple,ml\training_data\apple\388.png
68,127.4,45,34,32,apple,ml\training_data\apple\389.png
68,133.4,36,40,37,apple,ml\training_data\apple\390.png
70,127.1,39,36,34,apple,ml\training_data\apple\391.png
68,111.2,36,36,33,apple,ml\training_data\apple\392.png
69,138.3,43,40,34,apple,ml\training_data\apple\393.png
66,137.6,43,40,35,apple,ml\training_data\apple\394.png
70,127.4,36,40,35,apple,ml\training_data\apple\395.png
66,111.6,37,38,33,apple,ml\training_data\apple\396.png
70,151.8,40,40,38,apple,ml\training_data\apple\397.png
67,128.4,43,38,33,apple,ml\training_data\apple\398.png
68,125.0,39,38,34,apple,ml\training_data\apple\399.png
68,109.9,38,34,32,apple,ml\training_data\apple\400.png
70,123.5,35,38,35,apple,ml\training_data\apple\401.png
68,128.6,36,40,36,apple,ml\training_data\apple\402.png
68,142.1,42,38,36,apple,ml\training_data\apple\403.png
65,107.5,38,38,32,apple,ml\training_data\apple\404.png
69,141.8,45,38,34,apple,ml\training_data\apple\405.png
65,136.8,44,38,35,apple,ml\training_data\apple\406.png
68,132.5,42,38,34,apple,ml\training_data\apple\407.png
69,133.1,39,40,35,apple,ml\training_data\apple\408.png
65,131.0,43,40,34,apple,ml\training_data\apple\409.png
66,147.2,43,40,37,apple,ml\training_data\apple\410.png
67,116.9,39,36,33,apple,ml\training_data\apple\411.png
68,126.2,42,36,33,apple,ml\training_data\apple\412.png
66,144.6,40,40,38,apple,ml\training_data\apple\413.png
70,108.9,33,38,33,apple,ml\training_data\apple\414.png
69,101.8,34,34,32,apple,ml\training_data\apple\415.png
70,120.0,40,36,32,apple,ml\training_data\apple\416.png
65,123.1,41,36,34,apple,ml\training_data\apple\417.png
69,124.5,40,38,33,apple,ml\training_data\apple\418.png
69,126.7,44,34,32,apple,ml\training_data\apple\419.png
69,155.2,44,40,37,apple,ml\training_data\apple\420.png
65,122.2,42,38,33,apple,ml\training_data\apple\421.png
68,119.2,38,40,33,apple,ml\training_data\apple\422.png
68,141.3,43,40,35,apple,ml\training_data\apple\423.png
69,125.5,34,40,36,apple,ml\training_data\apple\424.png
69,133.9,38,38,36,apple,ml\training_data\apple\425.png
70,106.1,35,34,32,apple,ml\training_data\apple\426.png
67,125.3,36,38,36,apple,ml\training_data\apple\427.png
69,104.3,35,34,32,apple,ml\training_data\apple\428.png
68,124.2,40,40,33,apple,ml\training_data\apple\429.png
70,112.4,35,36,33,apple,ml\training_data\apple\430.png
68,120.0,37,38,34,apple,ml\training_data\apple\431.png
69,117.0,37,38,33,apple,ml\training_data\apple\432.png
69,111.1,34,40,33,apple,ml\training_data\apple\433.png
67,139.3,41,40,36,apple,ml\training_data\apple\434.png
65,115.8,40,36,33,apple,ml\training_data\apple\435.png
65,135.7,41,40,36,apple,ml\training_data\apple\436.png
65,106.3,35,40,33,apple,ml\training_data\apple\437.png
69,108.8,35,40,32,apple,ml\training_data\apple\438.png
66,112.6,38,36,33,apple,ml\training_data\apple\439.png
67,102.5,32,40,33,apple,ml\training_data\apple\440.png
65,140.6,43,40,36,apple,ml\training_data\apple\441.png
69,116.1,36,40,33,apple,ml\training_data\apple\442.png
65,109.0,38,40,32,apple,ml\training_data\apple\443.png
65,99.0,34,40,32,apple,ml\training_data\apple\444.png
69,124.1,36,38,35,apple,ml\training_data\apple\445.png
67,129.5,39,40,35,apple,ml\training_data\apple\446.png
68,99.5,32,40,32,apple,ml\training_data\apple\447.png
65,125.3,33,40,38,apple,ml\training_data\apple\448.png
65,144.1,45,38,36,apple,ml\training_data\apple\449.png
67,107.1,37,36,32,apple,ml\training_data\apple\450.png
67,140.3,42,38,36,apple,ml\training_data\apple\451.png
65,115.6,38,36,34,apple,ml\training_data\apple\452.png
70,136.9,34,40,38,apple,ml\training_data\apple\453.png
68,113.9,32,40,35,apple,ml\training_data\apple\454.png
67,122.2,38,40,34,apple,ml\training_data\apple\455.png
66,131.2,41,38,35,apple,ml\training_data\apple\456.png
66,126.0,37,38,36,apple,ml\training_data\apple\457.png
65,128.7,44,40,33,apple,ml\training_data\apple\458.png
68,136.5,43,40,34,apple,ml\training_data\apple\459.png
66,130.0,45,36,33,apple,ml\training_data\apple\460.png
69,105.8,35,36,32,apple,ml\training_data\apple\461.png
66,115.2,34,40,35,apple,ml\training_data\apple\462.png
70,122.4,39,36,33,apple,ml\training_data\apple\463.png
67,113.1,40,34,32,apple,ml\training_data\apple\464.png
65,139.1,43,38,36,apple,ml\training_data\apple\465.png
67,114.4,38,36,33,apple,ml\training_data\apple\466.png
68,95.0,32,34,32,apple,ml\training_data\apple\467.png
67,130.3,38,38,36,apple,ml\training_data\apple\468.png
69,138.5,45,40,33,apple,ml\training_data\apple\469.png
67,145.2,44,38,36,apple,ml\training_data\apple\470.png
65,115.9,35,40,35,apple,ml\training_data\apple\471.png
68,125.4,43,38,32,apple,ml\training_data\apple\472.png
66,138.5,42,38,36,apple,ml\training_data\apple\473.png
67,120.5,36,38,35,apple,ml\training_data\apple\474.png
68,130.9,35,40,37,apple,ml\training_data\apple\475.png
65,122.4,44,38,32,apple,ml\training_data\apple\476.png
65,130.8,41,40,35,apple,ml\training_data\apple\477.png
66,128.7,40,38,35,apple,ml\training_data\apple\478.png
65,98.3,33,36,33,apple,ml\training_data\apple\479.png
66,100.7,32,40,33,apple,ml\training_data\apple\480.png
70,104.9,32,36,33,apple,ml\training_data\apple\481.png
